No Pain/00-100_CTC03 HR1 15-18 _0.jpg, 0:0, no pain, 0.68628 
No Pain/00-100_R3S F1 BL 06-09_0.jpg, 0:0, no pain, 0.55400 
No Pain/00-101_AJ F4 BL 24-27_0.jpg, 0:0, pain, 0.79646 
No Pain/00-100_CTC03 HR1 15-18 _0.jpg, 0:0, no pain, 0.68628 
No Pain/00-100_R3S F1 BL 06-09_0.jpg, 0:0, no pain, 0.55400 
No Pain/00-101_AJ F4 BL 24-27_0.jpg, 0:0, pain, 0.79646 
No Pain/00-101_CMS 20 BL 003-006_0.jpg, 0:0, no pain, 0.67568 
No Pain/00-102_AD03 BL 3-6_0.jpg, 0:0, no pain, 0.52359 
No Pain/00-102_CTC08 BL 27-30 _0.jpg, 0:0, no pain, 0.74454 
No Pain/00-102_DL119 BL 21-24 _0.jpg, 0:0, no pain, 0.61488 
No Pain/00-102_J03 AMG 21-24 _0.jpg, 0:0, no pain, 0.66435 
No Pain/00-103_AD02 BL 27-30_0.jpg, 0:0, pain, 0.73984 
No Pain/00-103_CMS 20 BL 015-018_0.jpg, 0:0, no pain, 0.86509 
No Pain/00-104_AD06 BL 9-12_0.jpg, 0:0, no pain, 0.59691 
No Pain/00-104_DL117Hr1 15-18 _0.jpg, 0:0, no pain, 0.55246 
No Pain/00-105_A08 BL 27-30_0.jpg, 0:0, no pain, 0.64118 
No Pain/00-105_AJ M1 BL 00-03 _0.jpg, 0:0, no pain, 0.52698 
No Pain/00-105_J05 BL 06-09 _0.jpg, 0:0, no pain, 0.59030 
No Pain/00-106_CTC06 HR6 06-09 _0.jpg, 0:0, no pain, 0.51372 
No Pain/00-106_DL113 BL 00-03 _0.jpg, 0:0, no pain, 0.86603 
No Pain/00-107_CTC01 HR24 21-24 _0.jpg, 0:0, no pain, 0.75952 
No Pain/00-108_AD05 BL 27-30_0.jpg, 0:0, no pain, 0.60764 
No Pain/00-108_CTC01 HR24 06-09 _0.jpg, 0:0, no pain, 0.55895 
No Pain/00-109_A15 BL 12-15_0.jpg, 0:0, no pain, 0.72556 
No Pain/00-10_CFP 7 hr1 003-006_0.jpg, 0:0, no pain, 0.52372 
No Pain/00-10_DL123 BL 27-30 _0.jpg, 0:0, pain, 0.50307 
No Pain/00-10_J02 CFA 06-09 _0.jpg, 0:0, no pain, 0.54830 
No Pain/00-112_AJ F3 BL 15-18_0.jpg, 0:0, pain, 0.72003 
No Pain/00-114_AD07 BL 3-6_0.jpg, 0:0, no pain, 0.52613 
No Pain/00-114_CMS 20 hr1 024-027_0.jpg, 0:0, no pain, 0.85396 
No Pain/00-114_S06 PI 21-24(w)_0.jpg, 0:0, no pain, 0.96922 
No Pain/00-115_A15 BL 09-12_0.jpg, 0:0, no pain, 0.91612 
No Pain/00-115_AD05 BL 3-6_0.jpg, 0:0, pain, 0.59521 
No Pain/00-115_DL112 BL 06-09 _0.jpg, 0:0, pain, 0.64846 
No Pain/00-115_R3S M3 BL 03-06_0.jpg, 0:0, no pain, 0.61176 
No Pain/00-117_AD06 T 0-3_0.jpg, 0:0, pain, 0.60991 
No Pain/00-117_CMS 21 hr1 003-006_0.jpg, 0:0, no pain, 0.90257 
No Pain/00-117_CTC05 HR24 18-21 _0.jpg, 0:0, no pain, 0.85276 
No Pain/00-118_A12 PI 15-18_0.jpg, 0:0, no pain, 0.74366 
No Pain/00-118_AJ M2 BL 06-09_0.jpg, 0:0, pain, 0.57994 
No Pain/00-118_J04 BL 00-03 _0.jpg, 0:0, pain, 0.50390 
No Pain/00-119_CMS 21 hr1 012-015_0.jpg, 0:0, no pain, 0.81140 
No Pain/00-119_DL122 BL 00-03 _0.jpg, 0:0, no pain, 0.52582 
No Pain/00-11_J04 BL 09-12 _0.jpg, 0:0, no pain, 0.74147 
No Pain/00-120_CTC02 BL 15-18 _0.jpg, 0:0, no pain, 0.90401 
No Pain/00-120_DL116Hr1 15-18 _0.jpg, 0:0, no pain, 0.85800 
No Pain/00-120_J01 AMG 09-12 _0.jpg, 0:0, no pain, 0.58118 
No Pain/00-121_CTC03 HR4 03-06 _0.jpg, 0:0, pain, 0.82939 
No Pain/00-121_R3S M2 BL 24-27_0.jpg, 0:0, pain, 0.60249 
No Pain/00-122_AD08 BL 18-21_0.jpg, 0:0, pain, 0.50138 
No Pain/00-122_J06 BL 24-27 _0.jpg, 0:0, no pain, 0.55054 
No Pain/00-123_CMS 20 hr4 000-003_0.jpg, 0:0, no pain, 0.77879 
No Pain/00-124_A04 BL 21-24_0.jpg, 0:0, no pain, 0.81784 
No Pain/00-124_AD11 BL 12-15_0.jpg, 0:0, pain, 0.79582 
No Pain/00-124_CTC03 BL 03-06 _0.jpg, 0:0, no pain, 0.82691 
No Pain/00-124_DL125 BL 15-18 _0.jpg, 0:0, no pain, 0.69392 
No Pain/00-125_A13 BL 09-12_0.jpg, 0:0, no pain, 0.96298 
No Pain/00-125_AD05 T 6-9_0.jpg, 0:0, pain, 0.66160 
No Pain/00-125_AJ M3 BL 09-12_0.jpg, 0:0, no pain, 0.54774 
No Pain/00-126_A16 PI 24-27_0.jpg, 0:0, no pain, 0.94050 
No Pain/00-126_CTC04 HR4 00-03 _0.jpg, 0:0, no pain, 0.52060 
No Pain/00-126_DL124 BL 21-24 _0.jpg, 0:0, pain, 0.63347 
No Pain/00-127_CTC04 HR24 15-18 _0.jpg, 0:0, pain, 0.66117 
No Pain/00-127_J03 BL 06-09 _0.jpg, 0:0, no pain, 0.52086 
No Pain/00-128_A10 PI 27-30_0.jpg, 0:0, no pain, 0.79244 
No Pain/00-128_J04 CFA 15-18 _0.jpg, 0:0, no pain, 0.84733 
No Pain/00-129_A10 PI 24-27(w)_0.jpg, 0:0, no pain, 0.51062 
No Pain/00-129_CTC03 HR24 15-18 _0.jpg, 0:0, no pain, 0.83648 
No Pain/00-130_DL119 BL 00-03 _0.jpg, 0:0, no pain, 0.59736 
No Pain/00-130_R3S F3 BL 21-24_0.jpg, 0:0, pain, 0.77159 
No Pain/00-131_AD04 T 6-9_0.jpg, 0:0, pain, 0.74912 
No Pain/00-132_A09 BL 00-03_0.jpg, 0:0, no pain, 0.63349 
No Pain/00-132_CTC05 HR24 06-09 _0.jpg, 0:0, no pain, 0.84091 
No Pain/00-132_DL123 BL 21-24 _0.jpg, 0:0, pain, 0.76966 
No Pain/00-133_CBA M1 BL 09-12_0.jpg, 0:0, pain, 0.60355 
No Pain/00-134_AD03 BL 12-15_0.jpg, 0:0, pain, 0.52949 
No Pain/00-134_DL125 BL 18-21 _0.jpg, 0:0, pain, 0.53133 
No Pain/00-134_J04 CFA 00-03 _0.jpg, 0:0, no pain, 0.52586 
No Pain/00-135_A05 PI 15-18_0.jpg, 0:0, no pain, 0.62819 
